name,price,mileage,mpg,ext_color,int_color,transmission,rwd,condition,year,engine_size,engine_info
  Roma,249900,8083,19.5,Blu Roma Exterior,Terra Bruciata Leather Seats,8-Speed Automatic Transmission,yes,Certified,2021,3.9,8-Cylinder Turbo Gas Engine
  Portofino,216999,9255,19.0,Bianco Avus Exterior,Rosso Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  Portofino,238995,2843,19.0,Bianco Avus Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,199500,15492,15.0,Yellow Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2010,4.5,8-Cylinder Gas Engine
  812 Superfast,454644,4154,14.0,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,6.5,12-Cylinder Gas Engine
  Portofino,248995,8143,19.0,Nero Daytona Metallic Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,319900,4811,19.5,Grigio Silverstone Metallic Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  458 Spider,323900,6548,15.0,White Exterior,Brown Leather Seats,7-Speed Automatic Transmission,yes,Used,2015,4.5,8-Cylinder Gas Engine
  Roma,237995,2375,19.5,Grigio Titanio Metallic Exterior,Bordeaux Leather Seats,8-Speed Automatic Transmission,yes,Certified,2021,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,309800,8941,18.5,Blue Scozia Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,259900,9999,18.5,Nero Ds 1250 Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  812 GTS,579900,1158,13.5,Gray Exterior,Tortora Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021,6.5,12-Cylinder Gas Engine
  Portofino M,279900,220,19.5,Red Exterior,Black Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,334900,25490,14.0,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,6.5,12-Cylinder Gas Engine
  812 Superfast,377800,12223,14.0,Bianco Fuji Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,6.5,12-Cylinder Gas Engine
  458 Italia Coupe,189900,38000,15.0,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2013,4.5,8-Cylinder Gas Engine
