name,price,mileage,engine,mpg,ext_color,int_color,transmission,rwd,condition,year
Certified 2022 Ferrari F8 Spider,"455,000","1,647",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Dino Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Certified,2022
Used 2013 Ferrari 458 Spider,"198,999","11,700",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Grigio Silverstone Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2013
Used 2019 Ferrari 488 GTB,"264,900","14,905",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Nero Daytona Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Certified 2017 Ferrari 488 Spider,"329,900","2,673",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Red Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017
Used 2012 Ferrari California,"117,900","17,972",4.3L 8-Cylinder Gas Engine,13 City / 19 Highway ,Rosso Corsa Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Used,2012
Used 2019 Ferrari 812 Superfast,"370,900","8,417",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Silver Exterior,Black With White Stitching Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Certified 2020 Ferrari F8 Tributo,"364,995","3,048",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Used 2022 Ferrari F8 Spider,"525,000","2,188",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Scuderia Exterior,Nero Leather Leather Seats,7-Speed Automatic Transmission,yes,Used,2022
Used 2017 Ferrari 488 Spider,"259,950","23,797",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017
Used 2018 Ferrari 488 Spider,"264,900","15,138",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,White Exterior,Red Leather Seats,7-Speed Automatic Transmission,yes,Used,2018
Used 2002 Ferrari 575M Maranello,"159,995","14,485",5.7L 12-Cylinder Gas Engine,9 City / 16 Highway ,Red Exterior,Tan Leather Seats,Automatic Transmission,yes,Used,2002
Used 2017 Ferrari 488 GTB,"279,900","5,454",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017
Used 2022 Ferrari Portofino M,"319,998","1,925",3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Bianco Cervino Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Used,2022
Certified 2023 Ferrari Portofino M,"356,900",52,3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,White Exterior,White Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023
Used 2020 Ferrari Portofino,"209,900","17,650",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,White Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2020
Certified 2022 Ferrari Portofino M,"334,900",214,3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Rosso Corsa Exterior,Beige Tradizione Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
Used 2017 Ferrari 488 Spider,"299,985","5,050",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Argento Nurburgring Metallic Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2017
Used 2023 Ferrari F8 Spider,"509,900",89,3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Corsa Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2023
Certified 2021 Ferrari Roma,"249,900","8,083",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Blu Roma Exterior,Terra Bruciata Leather Seats,8-Speed Automatic Transmission,yes,Certified,2021
Used 2019 Ferrari Portofino,"216,999","9,255",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Bianco Avus Exterior,Rosso Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Certified 2019 Ferrari Portofino,"238,995","2,843",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Bianco Avus Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2010 Ferrari 458 Italia Coupe,"199,500","15,492",4.5L 8-Cylinder Gas Engine,12 City / 18 Highway ,Yellow Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2010
Used 2020 Ferrari 812 Superfast,"454,644","4,154",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020
Certified 2020 Ferrari Portofino,"248,995","8,143",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Nero Daytona Metallic Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Certified 2022 Ferrari Portofino M,"319,900","4,811",3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Grigio Silverstone Metallic Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
Used 2015 Ferrari 458 Spider,"323,900","6,548",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,White Exterior,Brown Leather Seats,7-Speed Automatic Transmission,yes,Used,2015
Certified 2021 Ferrari Roma,"237,995","2,375",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Grigio Titanio Metallic Exterior,Bordeaux Leather Seats,8-Speed Automatic Transmission,yes,Certified,2021
Certified 2017 Ferrari 488 Spider,"309,800","8,941",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Blue Scozia Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017
Used 2023 Ferrari F8 Spider,"499,900",101,3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Yellow Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2023
Used 2017 Ferrari 488 GTB,"259,900","9,999",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Nero Ds 1250 Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017
Certified 2021 Ferrari 812 GTS,"579,900","1,158",6.5L 12-Cylinder Gas Engine,12 City / 15 Highway ,Gray Exterior,Tortora Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021
Certified 2023 Ferrari Portofino M,"279,900",220,3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Red Exterior,Black Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023
Certified 2019 Ferrari 812 Superfast,"334,900","25,490",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2018 Ferrari 812 Superfast,"377,800","12,223",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Bianco Fuji Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2018
Used 2013 Ferrari 458 Italia Coupe,"189,900","38,000",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2013
Certified 2018 Ferrari 488 Spider,"284,999","6,598",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Certified 2023 Ferrari Portofino M,"314,988",333,3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Blu Tour De France Metallic Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023
Used 2019 Ferrari 812 Superfast,"439,990","2,217",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Black Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Certified 2018 Ferrari 488 GTB,"269,895","6,674",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Used 2021 Ferrari F8 Spider,"429,895","7,368",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Blu Pozzi Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Used,2021
Used 2019 Ferrari Portofino,"209,998","3,743",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Nero Daytona Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Used 2022 Ferrari Roma,"257,800","6,104",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Celeste Metallic Exterior,Terra Bruciata Leather Seats,8-Speed Automatic Transmission,yes,Used,2022
Certified 2015 Ferrari F12 Berlinetta,"279,995","13,187",6.3L 12-Cylinder Gas Engine,12 City / 16 Highway ,Leather Leather Seats,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Certified,2015
Certified 2022 Ferrari Portofino M,"324,900",391,3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Blu Tour De France Exterior,Cuoio Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
Certified 2017 Ferrari 488 GTB,"239,900","8,708",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Red Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017
Certified 2020 Ferrari 812 Superfast,"368,995","4,495",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Used 2019 Ferrari 488 Pista Coupe,"549,800","3,016",3.9L 8-Cylinder Turbo Gas Engine,15 City / 20 Highway ,Rosso Scuderia Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Certified 2015 Ferrari 458 Speciale Coupe,"549,900","7,960",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Rosso Corsa Exterior,Nero Interior,7-Speed Automatic Transmission,yes,Certified,2015
Certified 2022 Ferrari Portofino M,"289,000","2,489",3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Blue Pozzi Exterior,Cuoio Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
